exploration/num steps total,evaluation/Actions Min,exploration/Returns Min,evaluation/Rewards Min,trainer/Q1 Predictions Max,evaluation/Actions Max,trainer/Q Targets Min,trainer/Q2 Predictions Std,trainer/QF2 Loss,trainer/Policy Action Std,trainer/Q1 Predictions Std,evaluation/Rewards Std,trainer/Q2 Predictions Min,time/evaluation sampling (s),evaluation/Num Paths,trainer/Policy Action Mean,trainer/Bellman Errors 2 Mean,exploration/path length Std,time/data storing (s),exploration/Returns Std,evaluation/Actions Std,trainer/Policy Action Max,evaluation/path length Min,time/exploration sampling (s),exploration/Actions Std,exploration/path length Min,evaluation/path length Max,trainer/Bellman Errors 1 Std,evaluation/Rewards Mean,evaluation/path length Std,evaluation/path length Mean,exploration/Returns Mean,exploration/Rewards Std,trainer/Bellman Errors 1 Max,exploration/Actions Max,exploration/Rewards Max,evaluation/num steps total,trainer/Q2 Predictions Max,trainer/Bellman Errors 1 Min,exploration/Num Paths,evaluation/Returns Max,trainer/Q1 Predictions Min,trainer/Q Targets Std,trainer/Bellman Errors 1 Mean,trainer/Bellman Errors 2 Std,evaluation/num paths total,evaluation/Returns Std,trainer/Policy Loss,trainer/Bellman Errors 2 Min,trainer/Q2 Predictions Mean,trainer/Bellman Errors 2 Max,exploration/Rewards Min,exploration/Returns Max,evaluation/Rewards Max,exploration/num paths total,trainer/Q Targets Mean,evaluation/Actions Mean,replay_buffer/size,time/logging (s),exploration/Average Returns,evaluation/Average Returns,trainer/Policy Action Min,time/total (s),trainer/Q1 Predictions Mean,time/training (s),evaluation/Returns Mean,exploration/path length Max,evaluation/Returns Min,exploration/Actions Min,trainer/QF1 Loss,time/saving (s),Epoch,time/epoch (s),exploration/Actions Mean,exploration/Rewards Mean,trainer/Q Targets Max,exploration/path length Mean
55300,-0.9610887,-13.311710013153919,-0.5606612741238692,-12.263878,0.99925774,-13.157165,0.17172593,0.02763374,0.21984704,0.17310645,0.031201219816465394,-13.119436,0.07527311600279063,5,0.00066381413,0.027633738,0.0,0.0012410870112944394,0.45623642032019607,0.08170981,0.9894756,100,0.03457205599988811,0.15539641946598837,100,100,0.029432595,-0.03702353675655145,0.0,100.0,-12.855473592833722,0.07526973799614378,0.0975752,0.7528661980091285,-0.0060798937555997835,138000,-12.260994,0.00015619755,2,-3.4652950832525167,-13.204833,0.2333306,0.02725491,0.028317457,1380,0.26746361938753854,12.30266,1.0490803e-06,-12.398224,0.08494173,-0.38157576542750044,-12.399237172513526,-0.029626326370216435,553,-12.359751,0.0036585792,55300,0.0026555649819783866,-12.855473592833722,-3.7023536756551465,-0.9533141,163.40073922419106,-12.395527,0.41362734299036674,-3.7023536756551465,100,-4.082815873001733,-0.9065832072637509,0.027254911,0.0023986599990166724,275,0.529767826985335,0.0011360390014855336,-0.12855473592833722,-11.993772,100.0
55500,-0.86726475,-13.82368910666436,-1.013885506760735,-12.175212,0.99999,-12.789405,0.10361622,4.588278,0.09203263,0.09091312,0.06668628739140152,-12.502712,0.08308764698449522,5,0.037367936,4.588278,0.0,0.001433373021427542,0.3440151470584798,0.090531535,0.20924592,100,0.03428835401427932,0.16368586791551723,100,100,25.440039,-0.040330954236294,0.0,100.0,-13.479673959605881,0.06914125769385907,146.23657,1.0,-0.0025990346982468137,138500,-12.149544,1.0412805e-08,2,-3.4518083975208853,-12.483019,2.1068108,4.5925965,25.418625,1385,0.4704580912998984,12.190994,4.9545233e-06,-12.314259,146.11304,-0.41418542774770123,-13.135658812547401,-0.028605943873829618,555,-11.987943,0.006371703,55500,0.0024238329788204283,-13.479673959605881,-4.033095423629399,-0.14060782,163.95085760418442,-12.313866,0.42229306302033365,-4.033095423629399,100,-4.5525439787280595,-1.0,4.5925965,0.002132986002834514,276,0.5456592560221907,0.004551454422487194,-0.13479673959605887,-0.29341933,100.0
55700,-0.92285085,-14.081597929896702,-0.3147566611599912,-12.181247,0.99736124,-13.04741,0.16875148,0.039112516,0.109982744,0.16989048,0.014373768638461053,-13.018554,0.08007948898011819,5,-0.0166944,0.03911252,0.0,0.001215155003592372,0.7398948506105683,0.0533717,0.33506134,100,0.035620063019450754,0.1506991133603251,100,100,0.067861676,-0.018998459997994814,0.0,100.0,-13.341703079286134,0.069761705091299,0.25765565,1.0,-0.010117067385219348,139000,-12.172013,1.0768855e-05,2,-1.8302154262450894,-13.0183935,0.22733143,0.038682647,0.07186415,1390,0.11220559404469045,12.230454,1.7257422e-05,-12.324841,0.29199973,-0.4096605886099832,-12.601808228675566,-0.017774452432261237,557,-12.387096,0.0018428152,55700,0.002876170998206362,-13.341703079286134,-1.8998459997994819,-0.3808818,164.71775267322664,-12.329233,0.6412132469995413,-1.8998459997994819,100,-2.1229298639083596,-0.833206962358512,0.03868264,0.002058715996099636,277,0.7630628409970086,0.004415761314927384,-0.13341703079286132,-12.097379,100.0
55900,-0.9876909,-14.23331860478184,-0.7941967399645541,-12.244416,0.99985516,-12.8174925,0.07471212,0.024700996,0.11753385,0.07305545,0.05295561136043534,-12.4910965,0.08123477699700743,5,-0.015030298,0.024700996,0.0,0.0012895219842903316,0.5681102437980474,0.08282452,0.49632272,100,0.03550979201099835,0.15944294280535212,100,100,0.047177177,-0.03649614572440514,0.0,100.0,-13.665208360983792,0.07432593437360684,0.2650427,1.0,-0.01387693596071466,139500,-12.221286,9.362458e-05,2,-3.227222178030044,-12.495222,0.1576024,0.022557992,0.052612655,1395,0.31868795212555934,12.272181,7.212162e-06,-12.329694,0.2937483,-0.47283877737984437,-13.097098117185745,-0.03167618262777725,559,-12.361487,0.006814204,55900,0.0024916770053096116,-13.665208360983792,-3.649614572440514,-0.22232535,165.3068159671966,-12.337955,0.46214057301403955,-3.649614572440514,100,-3.998452143699662,-0.37006211725161864,0.022557992,0.002302915003383532,278,0.5849692560150288,0.008673260775443354,-0.1366520836098379,-12.112858,100.0
56100,-0.47117266,-13.740181313249161,-0.8189766575161505,-12.256392,0.999904,-13.21828,0.15483838,0.024831297,0.17384478,0.16173375,0.046408493618502286,-13.025558,0.07757131999824196,5,0.026521653,0.024831295,0.0,0.0010549570142757148,0.7039652821591655,0.07836288,0.8687634,100,0.03374613402411342,0.1495496414758924,100,100,0.041071102,-0.027007417286309534,0.0,100.0,-13.036216031089996,0.08222286992565636,0.2162278,0.8559693432022075,-0.012662029913418525,140000,-12.264947,1.6043487e-07,2,-2.3646323554868918,-12.99275,0.23380663,0.022075806,0.048624355,1400,0.3593336863891021,12.245166,1.1819793e-08,-12.416122,0.22380167,-0.8057655463986486,-12.33225074893083,-0.015898489593403065,561,-12.424755,0.0070144082,56100,0.0024907510087359697,-13.036216031089996,-2.7007417286309527,-0.42144853,165.82194109921693,-12.4212265,0.39398978400276974,-2.7007417286309527,100,-3.210915846984404,-0.6299315929741014,0.022075806,0.0019993789901491255,279,0.5108523250382859,0.002771644594978555,-0.13036216031089995,-12.123028,100.0
56300,-0.9772875,-12.885799001443338,-0.7678610799173836,-12.429982,0.9998579,-12.807246,0.091856495,0.058079775,0.12160601,0.09716494,0.04439850341411169,-12.779519,0.07708619500044733,5,-0.017248567,0.05807977,0.0,0.0011332650028634816,0.7993442541634179,0.088894166,0.45330006,100,0.03433610897627659,0.1398266411164848,100,100,0.06788481,-0.05522621085557672,0.0,100.0,-12.08645474727992,0.0694793281796868,0.36536354,0.8702632382377635,-0.00617189371028865,140500,-12.432252,3.4522527e-05,2,-5.228412616158689,-12.77476,0.18002546,0.057302617,0.07346854,1405,0.30226096079112563,12.438552,8.978904e-05,-12.554771,0.4001029,-0.3937243843467807,-11.287110493116502,-0.03740094623231638,563,-12.397379,0.0062061604,56300,0.002501867013052106,-12.08645474727992,-5.522621085557674,-0.39068335,166.3489853622741,-12.556599,0.40550718901795335,-5.522621085557674,100,-5.920661315962696,-0.4209236021609578,0.05730262,0.0022734310186933726,280,0.5228380560292862,0.006726593238167484,-0.12086454747279918,-12.084726,100.0
56500,-0.9317583,-14.078890648405674,-0.9965638660417645,-12.290597,0.99998975,-13.137237,0.1602969,0.03926814,0.10885721,0.1532033,0.06834800688492293,-13.207357,0.08215533997281455,5,0.009568959,0.039268143,0.0,0.0011791770230047405,0.4722464566050819,0.08533555,0.27259287,100,0.0352258549828548,0.16047245887709866,100,100,0.09547838,-0.046423081276782636,0.0,100.0,-13.60664419180059,0.0806444931817142,0.54368573,0.9187827619936391,-0.002157699986425863,141000,-12.286952,2.7220267e-08,2,-4.088240132184523,-13.19316,0.24771856,0.04165952,0.09184572,1410,0.4211396904655591,12.294102,3.4376993e-05,-12.4256735,0.52067155,-0.42004963807581713,-13.13439773519551,-0.03340080621310661,565,-12.409124,0.0063289767,56500,0.00250023600528948,-13.60664419180059,-4.642308127678264,-0.4518309,167.03933143228642,-12.426027,0.5627731650019996,-4.642308127678264,100,-5.059414543512712,-0.36760985471822566,0.04165952,0.0024816800141707063,281,0.6863154530001339,0.007457760817529693,-0.1360664419180059,-12.119064,100.0
56700,-0.97929186,-14.771156224908214,-0.8791102888169744,-12.373549,0.9999755,-12.869498,0.11491294,0.029366411,0.10839576,0.11440247,0.043372385669975255,-12.88772,0.07383104501059279,5,-0.014344215,0.029366415,0.0,0.0011229550000280142,0.7128421139616785,0.08949586,0.19720173,100,0.033648498996626586,0.1666387550227713,100,100,0.04152028,-0.03276612060705876,0.0,100.0,-14.058314110946537,0.10686320230378442,0.1735772,1.0,-0.010046130146618938,141500,-12.378131,2.1305459e-07,2,-3.0226670798103417,-12.865468,0.17337543,0.030970145,0.043786675,1415,0.27858806190302254,12.407674,7.092836e-05,-12.516831,0.18805647,-1.0007358600282044,-13.345471996984857,-0.02383828117289412,567,-12.446743,0.005440757,56700,0.006282863003434613,-14.058314110946537,-3.276612060705878,-0.4342345,167.58326523733558,-12.523979,0.4218022769782692,-3.276612060705878,100,-3.785339400045609,-0.6145580528787788,0.030970145,0.0028871380200143903,282,0.5395747770089656,0.011082761545307372,-0.14058314110946538,-12.160269,100.0
56900,-0.9591127,-14.072177801746419,-0.35508665262127465,-12.237327,0.9993054,-13.850933,0.24183683,0.036705002,0.14695531,0.2372347,0.01426395175840656,-13.637958,0.23581022801226936,5,0.044525176,0.036705,0.0,0.0020115780062042177,0.42208110011475597,0.07256019,0.68051976,100,0.08319260398275219,0.1548878160304949,100,100,0.07818194,-0.06540623603119204,0.0,100.0,-13.650096701631663,0.0751312020690761,0.44689602,0.9032100564831761,-0.005287266910436558,142000,-12.24756,9.7073e-06,2,-6.443311493183619,-13.625993,0.31978717,0.03588269,0.080868565,1420,0.09867554301174349,12.282043,9.70136e-05,-12.421473,0.46143207,-0.4102445342399925,-13.228015601516907,-0.03113971251833961,569,-12.467551,0.0043281885,56900,0.003179741994244978,-13.650096701631663,-6.540623603119203,-0.47862095,168.80856430137646,-12.4084425,0.8905005910200998,-6.540623603119203,100,-6.7159531467285225,-0.8629906206391893,0.035882693,0.0025122410152107477,283,1.2172069840307813,0.003489387805881965,-0.13650096701631667,-12.114347,100.0
57100,-0.9665368,-13.36154511683043,-0.8956219707486128,-12.009544,0.9999951,-15.77878,0.63231194,0.10897362,0.22276977,0.62242633,0.04137235946267626,-15.522131,0.17522662100964226,5,0.042649895,0.10897362,0.0,0.0018526570056565106,0.5382949299898439,0.07532692,0.99930596,100,0.10819211998023093,0.16870956738963877,100,100,0.13521424,-0.027689653839711344,0.0,100.0,-12.823250186840585,0.07606371530108498,0.5026034,0.9974867651339758,-0.010424050544548076,142500,-12.03083,0.0050488715,2,-2.531116301312952,-15.449075,0.6753223,0.11762497,0.12598561,1425,0.334533407633822,12.102351,0.0024442573,-12.283911,0.44171014,-0.5069447241222406,-12.284955256850742,-0.013855486953104236,571,-12.555536,0.0009431511,57100,0.01421360598760657,-12.823250186840585,-2.7689653839711355,-0.51157373,169.96138688235078,-12.271202,0.8410763849969953,-2.7689653839711355,100,-3.3977361065948077,-1.0,0.11762496,0.005631228006677702,284,1.1461926169868093,0.003360093042310518,-0.12823250186840585,-12.150411,100.0
57300,-0.72140276,-13.446249508292535,-0.5228503009596381,-12.176411,0.9988575,-13.40541,0.27111727,9.273109,0.20890148,0.2810397,0.02176216915551955,-13.417403,0.21281786702456884,5,-0.0032907892,9.273109,0.0,0.003291680011898279,0.1181743313442114,0.0684268,0.77595294,100,0.08115060100681148,0.15513882902683138,100,100,35.567146,-0.0594140939903393,0.0,100.0,-13.328075176948325,0.07230268387370294,147.06276,1.0,-0.00804727958451178,143000,-12.197028,3.8378872e-05,2,-5.791725687425302,-13.423188,3.005334,9.22806,35.737232,1430,0.18276354472046777,12.191226,1.1327356e-06,-12.385031,147.8699,-0.4858812424038628,-13.209900845604112,-0.053089393426392954,573,-11.734558,0.005702775,57300,0.002498482004739344,-13.328075176948325,-5.941409399033934,-0.5311317,171.09619992939406,-12.384182,0.8190497629984748,-5.941409399033934,100,-6.299359890015524,-0.4099528362387022,9.228062,0.0023085540160536766,285,1.1211169470625464,0.00792397832102469,-0.13328075176948326,-0.10256344,100.0
57500,-0.047410615,-13.593302873306301,-0.8028650814906944,-12.1220875,0.9999708,-13.844479,0.17881213,0.059697825,0.13408169,0.17347339,0.055426112634483084,-12.929705,0.08423662601853721,5,0.011045382,0.05969783,0.0,0.0012891340011265129,0.6151514658394497,0.08892689,0.27379504,100,0.03967595801805146,0.16064976842405032,100,100,0.17091231,-0.051145249686691596,0.0,100.0,-12.978151407466852,0.07131737444423168,0.9663486,1.0,-0.016671469003120297,143500,-12.126853,2.3748817e-07,2,-4.628223212859951,-12.933183,0.32244357,0.061768197,0.16273044,1435,0.3701141178138479,12.213237,1.1500684e-05,-12.313805,0.9209758,-0.496981109697045,-12.362999941627402,-0.03868022513826042,575,-12.450652,0.010530994,57500,0.0024989270023070276,-12.978151407466852,-5.114524968669162,-0.45004132,171.73464017847436,-12.313941,0.5042572719976306,-5.114524968669162,100,-5.462503622798158,-0.7727145443570541,0.061768197,0.002478813024936244,286,0.634436730062589,0.006905495239966688,-0.1297815140746685,-12.12839,100.0
57700,-0.16917068,-13.368096849582281,-0.9463916873401839,-12.045186,0.9999895,-13.40874,0.15069272,4.6526666,0.1270739,0.15197293,0.057217074171775045,-12.723774,0.07614676200319082,5,0.010246316,4.652666,0.0,0.0011816489859484136,0.6766729137796998,0.084442884,0.3004562,100,0.035779986006673425,0.14670003241647858,100,100,25.231354,-0.04140702588744367,0.0,100.0,-12.691423935802582,0.06989188762097802,145.14922,1.0,-0.015082125160913345,144000,-12.039357,0.0002968412,2,-3.72182800529197,-12.729239,2.180959,4.670377,25.143373,1440,0.4029493864041699,12.061755,0.00087893713,-12.194185,144.64172,-0.5869458160067144,-12.014751022022882,-0.03691874836695536,577,-12.106108,0.008544618,57700,0.0024771949974820018,-12.691423935802582,-4.140702588744367,-0.45809385,172.36643628348247,-12.193088,0.509781444008695,-4.140702588744367,100,-4.647780191666152,-0.4078680548814717,4.670377,0.002386463980656117,287,0.6277534999826457,0.0043651462130700844,-0.1269142393580258,-0.055893436,100.0
