exploration/Rewards Max,trainer/Q2 Predictions Mean,time/evaluation sampling (s),exploration/Actions Min,evaluation/Rewards Mean,trainer/Q1 Predictions Max,evaluation/path length Std,trainer/Q1 Predictions Min,evaluation/path length Min,evaluation/Actions Std,evaluation/Actions Max,trainer/QF2 Loss,trainer/Policy log std Std,evaluation/Rewards Max,exploration/Rewards Mean,exploration/Returns Mean,time/logging (s),trainer/Q2 Predictions Min,exploration/Actions Max,time/total (s),time/epoch (s),trainer/Policy mu Std,evaluation/path length Max,trainer/Q Targets Min,trainer/QF1 Loss,exploration/num paths total,trainer/Policy log std Min,exploration/num steps total,exploration/Actions Std,exploration/Num Paths,exploration/Returns Std,evaluation/Rewards Min,time/training (s),exploration/path length Min,trainer/Log Pis Std,trainer/Q2 Predictions Max,evaluation/num paths total,evaluation/Returns Mean,evaluation/Average Returns,trainer/Policy log std Max,evaluation/Actions Min,trainer/Policy mu Mean,trainer/Policy log std Mean,Epoch,time/exploration sampling (s),exploration/path length Std,replay_buffer/size,evaluation/Actions Mean,exploration/Average Returns,time/data storing (s),time/saving (s),trainer/Log Pis Mean,trainer/Policy mu Min,trainer/Policy Loss,trainer/Log Pis Min,trainer/Policy mu Max,evaluation/num steps total,exploration/Returns Min,evaluation/Returns Min,trainer/Alpha,trainer/Q1 Predictions Mean,exploration/Returns Max,trainer/Log Pis Max,exploration/Rewards Min,trainer/Q Targets Mean,trainer/Alpha Loss,evaluation/Returns Std,evaluation/Rewards Std,exploration/path length Max,evaluation/Returns Max,evaluation/path length Mean,trainer/Q2 Predictions Std,trainer/Q Targets Std,exploration/Actions Mean,evaluation/Num Paths,exploration/Rewards Std,trainer/Q Targets Max,exploration/path length Mean,trainer/Q1 Predictions Std
-0.011123392145567802,-18.838352,0.33805126301012933,-0.99158233,-0.3112433893318454,-15.65617,0.0,-59.821968,100,0.1592091,0.98271483,2.6594548,0.0841349,-0.11253749005123587,-0.638545588150595,-63.8545588150595,0.004769360006321222,-59.97681,0.9978528,27.791051683045225,2.478572101041209,0.74139804,100,-59.67769,2.6907568,57,-0.8832405,5700,0.45186925,5,16.002162141846245,-8.222545815004931,1.9789135820174124,100,1.5442709,-15.671917,165,-31.124338933184546,-31.124338933184546,-0.48885363,-0.97491497,0.14172888,-0.77149916,10,0.15191447600955144,0.0,5700,0.018817026,-63.8545588150595,0.0029716489952988923,0.0019517710024956614,-0.21476343,-2.0015178,17.796524,-4.7975693,2.4256246,16500,-93.86854063818303,-54.652328898112486,0.24793747067451477,-18.83142,-49.26179530637849,5.3932304,-8.562498200652637,-18.805893,-3.0880420207977295,10.034825059190528,0.6704810980992699,100,-19.667578760076992,100.0,7.583049,7.822777,0.017862266,15,0.7290555092457143,-0.47115242,100.0,7.5558443
-0.011048378810653228,-20.002321,0.34974664001492783,-0.96778846,-0.28487974059388516,-16.043869,0.0,-69.40143,100,0.19543438,0.98412865,0.3086865,0.09147316,-0.020701641853963934,-0.6996898282688524,-69.96898282688524,0.0048648189986124635,-69.53736,0.9967748,30.291531860100804,2.496250697062351,0.7752696,100,-71.08394,0.33685008,62,-0.9549318,6200,0.46814623,5,17.460576127455706,-10.3681029118286,1.9889792160247453,100,1.4140145,-16.056719,180,-28.48797405938852,-28.48797405938852,-0.51335377,-0.968072,0.16026297,-0.8003624,11,0.14753708001808263,0.0,6200,0.022245128,-69.96898282688524,0.0032503260008525103,0.0018726160051301122,-0.08544213,-1.642965,19.103354,-3.206025,2.4458625,18000,-97.08905546505201,-63.37937657961993,0.21556486189365387,-19.983017,-49.97402084866153,3.7909498,-10.526062628104082,-20.301842,-3.199493408203125,15.55164720838899,1.09183016609165,100,-9.27438559588608,100.0,9.038868,9.147226,0.042535696,15,1.0619392607878246,-15.951919,100.0,9.001661
-0.019562336336962225,-18.485357,0.3449777709902264,-0.9813797,-0.3921626803635869,-16.6332,0.0,-43.27148,100,0.20301175,0.9893647,2.782036,0.09932505,-0.10831915717971193,-0.7737246152623488,-77.3724615262349,0.004806438984815031,-43.33267,0.996721,32.80304354708642,2.5070436280220747,0.6898309,100,-43.49197,2.7968976,67,-1.0609175,6700,0.4697611,5,15.680912247758533,-10.238043734019174,1.9926647970278282,100,1.2911236,-16.626966,195,-39.21626803635869,-39.21626803635869,-0.54932153,-0.98658466,0.045911666,-0.88548,12,0.15942243300378323,0.0,6700,0.0326869,-77.3724615262349,0.0031697580125182867,0.0020024300029035658,-0.07141634,-1.6069891,18.023321,-6.6211166,2.4612393,19500,-92.59873331548539,-68.1650673268105,0.188003271818161,-18.480959,-49.32913359677531,4.057777,-10.499770703470041,-18.308582,-3.4613888263702393,15.340626188958689,1.1341218990379553,100,-15.96905740939391,100.0,4.800482,5.251429,0.040525474,15,1.3586010142111122,-0.4362563,100.0,4.801251
-0.024256399513259058,-19.85572,0.3381127650209237,-0.893404,-0.6293311965678491,-16.68142,0.0,-57.34771,100,0.26345178,0.987086,5.6577916,0.13197419,-0.050095830106719995,-0.5836534644068312,-58.36534644068312,0.004725539009086788,-57.283012,0.99615735,35.30910934807616,2.5017318959871773,0.7895831,100,-57.379856,5.6215014,72,-1.1379282,7200,0.42995617,5,18.558611366691377,-9.946444734020805,2.001446048001526,100,1.2691258,-16.676577,210,-62.93311965678494,-62.93311965678494,-0.5213002,-0.98642766,0.05329021,-0.9297844,13,0.15240880998317152,0.0,7200,-0.0023660355,-58.36534644068312,0.003018107992829755,0.00202062597963959,0.22518477,-1.9956869,19.098768,-2.7849154,2.4883678,21000,-95.41357256137212,-423.4474921662873,0.16427598893642426,-19.839848,-47.855864331811425,4.186499,-10.16289442812457,-19.754187,-3.2052175998687744,97.31525985791654,1.3845567166425476,100,-16.030510573819132,100.0,8.204383,8.615964,0.03309556,15,0.8799950064017362,-0.15796784,100.0,8.204595
-0.017547960529192504,-18.826721,0.33672670400119387,-0.9496416,-0.24187799673324087,-16.529554,0.0,-88.43016,100,0.17644937,0.99007607,5.9461613,0.14157234,-0.02388716318328149,-0.5576759120991657,-55.76759120991657,0.0048125809989869595,-88.458534,0.99803835,37.7549291200703,2.4411853000347037,0.7055156,100,-82.466736,5.915581,77,-1.2652833,7700,0.40291134,5,19.576779161051025,-9.542667871790282,1.9462142180127557,100,1.4509312,-16.54502,225,-24.187799673324086,-24.187799673324086,-0.4452268,-0.9821309,0.04774698,-1.049311,14,0.148414348019287,0.0,7700,0.019996857,-55.76759120991657,0.003022541990503669,0.0019949070119764656,0.33736798,-1.9473603,18.640785,-2.4653146,2.6557899,22500,-88.94161367886193,-54.816988449437424,0.14394539594650269,-18.818228,-36.83819528948999,6.867247,-10.957301891999423,-18.922722,-3.2222886085510254,16.476932136238876,0.980072287988766,100,-5.498816308835689,100.0,8.306655,8.108311,0.030531164,15,1.0559053382482533,-0.49610654,100.0,8.281182
-0.0015221353177114177,-22.080887,0.34134235899546184,-0.98713213,-0.7520498464237597,-16.9146,0.0,-83.36416,100,0.27325514,0.9926821,0.29695433,0.21910498,-0.07697814628413527,-0.6463144420356945,-64.63144420356946,0.004775801004143432,-83.39739,0.99901026,40.218678645120235,2.45888039903366,0.8786552,100,-84.429016,0.2875571,82,-1.3484453,8200,0.40085828,5,15.955053452092017,-10.9548119445065,1.9602705680008512,100,1.4834166,-16.990835,240,-75.20498464237606,-75.20498464237606,-0.38078725,-0.991993,0.07320831,-1.1029642,15,0.14763868701993488,0.0,8200,0.005871536,-64.63144420356946,0.0028577480115927756,0.0019952360016759485,0.64458936,-2.1404648,21.581505,-4.4362936,2.7709506,24000,-91.93948605699423,-607.8641196566638,0.12673452496528625,-22.073658,-45.68613760858096,5.645678,-10.556864383133968,-22.272333,-2.7994742393493652,143.1513389656609,1.720782432677274,100,-18.35490919877217,100.0,12.79014,12.881497,0.032941043,15,1.257985390220484,-16.89162,100.0,12.796547
-0.004051080466076127,-22.619236,0.3480771580070723,-0.9893472,-0.21079000597876968,-17.210794,0.0,-77.371216,100,0.17726615,0.9935702,0.21562976,0.2670676,-0.00024175588202127594,-0.45057916594369074,-45.057916594369075,0.00491039699409157,-77.4675,0.9978343,42.69561143309693,2.47267915395787,0.9890662,100,-77.89213,0.2144513,87,-1.4757587,8700,0.35795572,5,16.70583033179757,-9.773223014358404,1.958922388002975,100,1.7029226,-17.205137,255,-21.079000597876973,-21.079000597876973,-0.38327605,-0.98902416,0.21186274,-1.1721016,16,0.15568988799350336,0.0,8700,0.020444361,-45.057916594369075,0.0030498679843731225,0.0020294549758546054,0.8241321,-2.6590602,22.233152,-4.2879276,2.7819824,25500,-77.48953524566458,-57.09716413550512,0.11188144981861115,-22.616613,-31.951865420574805,6.151348,-9.453714110278561,-22.603178,-2.5752310752868652,15.335722713810993,0.8922379710728419,100,-6.072596120948317,100.0,11.650903,11.701566,0.027838547,15,0.8713882992934778,-16.961636,100.0,11.644005
-0.018191930311120368,-20.192404,0.3368411239935085,-0.995762,-0.5705689898096598,-16.973125,0.0,-68.520035,100,0.25185168,0.9942572,3.1367126,0.2629345,-0.050222265862500164,-0.3926976370952515,-39.26976370952515,0.004863242007559165,-68.555214,0.99823,45.151837108132895,2.451971472008154,0.8554724,100,-69.31026,3.1273715,92,-1.602095,9200,0.34903425,5,7.5140250958836745,-10.765424681545797,1.9580216770118568,100,1.4607922,-17.019165,270,-57.056898980965954,-57.056898980965954,-0.42648515,-0.99280506,0.18845436,-1.3103726,17,0.14712797000538558,0.0,9200,-0.0057810363,-39.26976370952515,0.003100578993326053,0.002016879996517673,0.8089272,-2.174886,20.152115,-5.2410064,2.913038,27000,-53.984113029946954,-452.072264005074,0.09923645853996277,-20.1882,-32.96567217872993,4.28802,-8.198278841507666,-20.252344,-2.751406192779541,107.29571618299151,1.4696496468789744,100,-9.00611224902889,100.0,8.140945,8.460732,0.02378977,15,0.7155836804571118,-0.24142589,100.0,8.126677
-0.017970871884101142,-20.458162,0.3354712009895593,-0.97290504,-0.30863661801093106,-16.9121,0.0,-72.91267,100,0.19367085,0.9951228,0.2553749,0.2857926,-0.050613822989831414,-0.4123089210798321,-41.23089210798322,0.004917819984257221,-73.14478,0.996526,47.63421204610495,2.478002192947315,0.96805274,100,-69.57523,0.23772353,97,-1.6337184,9700,0.3259427,5,2.545258372286101,-9.320118259787279,1.9855971039796714,100,1.7314657,-16.921595,285,-30.86366180109311,-30.86366180109311,-0.32456195,-0.9692291,0.087458804,-1.2997622,18,0.14686460900702514,0.0,9700,0.035095643,-41.23089210798322,0.003063310985453427,0.0020881480013486,1.1413665,-2.5352595,20.88323,-2.2279453,3.1430955,28500,-43.15576986693599,-51.6926760483703,0.08868733048439026,-20.444555,-36.28651668893592,8.074749,-5.442201659515147,-20.630728,-2.0799801349639893,12.00485191181926,0.9563817642808907,100,-11.319504118458044,100.0,9.4482355,9.248697,0.023546375,15,0.6929119710031811,-16.967459,100.0,9.424075
-0.008137859226173768,-20.997839,0.34281628200551495,-0.99950737,-0.34841389290149366,-16.834484,0.0,-77.86194,100,0.17782052,0.99395585,0.051759526,0.31840578,-0.09009929070428112,-0.6868099807677627,-68.68099807677626,0.004185581026831642,-77.92402,0.99887097,50.11618362611625,2.4776495170372073,0.88271105,100,-78.27828,0.051523287,102,-1.850826,10200,0.33263662,5,12.775183285274592,-9.95796246745302,1.9756751169916242,100,1.4510148,-16.851189,300,-34.841389290149365,-34.841389290149365,-0.5170394,-0.98904973,0.0705272,-1.5084407,19,0.14985131498542614,0.0,10200,0.020870557,-68.68099807677626,0.00300348101882264,0.0021177410089876503,1.2571012,-2.307318,21.450893,-2.2459335,2.9773252,30000,-83.93855872059362,-71.87404257475221,0.07978148013353348,-21.000769,-50.039283112898616,6.205498,-11.329056969152472,-21.01825,-1.8782455921173096,14.209358801988216,0.8699800454086171,100,-18.922733645671038,100.0,11.572089,11.496836,0.04750869,15,1.5672646549907068,-16.738335,100.0,11.55394
-0.0178591948545673,-18.001894,0.3361339420080185,-0.9761679,-0.2593872462955567,-16.481281,0.0,-40.8506,100,0.17570768,0.99754393,5.5040197,0.2720847,-0.09132581082165979,-0.3663884608644346,-36.63884608644346,0.00524440300068818,-41.208145,0.9985084,52.57687314905343,2.456861393962754,0.76474994,100,-42.142605,5.521508,107,-1.8679787,10700,0.27425414,5,16.4156241262576,-10.30967822772256,1.9641015209781472,100,1.3292542,-16.514444,315,-25.938724629555665,-25.938724629555665,-0.2881493,-0.9805096,0.0682157,-1.6200752,20,0.1462518740154337,0.0,10700,0.028466227,-36.63884608644346,0.0030316529737319797,0.002098000986734405,1.1058533,-3.029738,18.566002,-4.4933767,2.9086294,31500,-64.96758952411125,-64.44395568147003,0.07237141579389572,-18.002941,-20.98643100028192,4.710163,-8.986072561790008,-17.893103,-2.3478260040283203,15.38885722396404,0.8436054699089509,100,-11.891192116642344,100.0,3.8019824,4.6505995,0.021516817,15,0.856475154602783,-0.12403572,100.0,3.7722626
-0.013899519820139273,-18.533781,0.3431551610119641,-0.98826116,-0.6729136302454917,-16.261322,0.0,-55.991383,100,0.2574332,0.9965495,5.3135448,0.34021792,-0.1044003372144944,-0.5325065860388524,-53.250658603885235,0.0049941850011236966,-56.289948,0.99900556,55.06461575702997,2.4833204580063466,0.8354781,100,-56.09884,5.3152146,112,-1.9935545,11200,0.3055459,5,16.160964156051183,-10.182475422297172,1.9812686220102478,100,1.5374117,-16.284563,330,-67.29136302454923,-67.29136302454923,-0.36552328,-0.9899275,0.046613216,-1.6122845,21,0.14929670799756423,0.0,11200,0.06930807,-53.250658603885235,0.0029009229911025614,0.0017048589943442494,1.3919959,-2.7112398,19.146053,-4.3653173,3.0339587,33000,-72.90666858210768,-525.8907495873583,0.06584688276052475,-18.52636,-32.31944583426118,8.050013,-10.367153487035754,-18.355806,-1.6539160013198853,123.6072773129595,1.6037261973237216,100,-14.925297392512928,100.0,6.4430184,6.82577,0.045233466,15,1.359049870594409,-0.1310055,100.0,6.4202414
-0.011359475270952471,-19.397747,0.3402877560001798,-0.99934685,-0.48419046719627873,-16.027693,0.0,-82.46388,100,0.20281576,0.99718565,2.778223,0.3678003,-0.1479398567288019,-0.41178562248794365,-41.17856224879437,0.004757789021823555,-82.44225,0.99896187,57.52031512206304,2.451556005020393,0.8645998,100,-83.99245,2.7697387,117,-2.1179333,11700,0.2675933,5,6.0361511345379295,-11.02275136545627,1.9493433210009243,100,1.5232173,-16.01197,345,-48.41904671962786,-48.41904671962786,-0.46847466,-0.9944124,0.12325049,-1.6967521,22,0.15157529400312342,0.0,11700,0.017475652,-41.17856224879437,0.0035629580088425428,0.002028886985499412,1.6522517,-2.0231755,20.326954,-3.0405326,3.0638945,34500,-51.32215105659935,-77.8113958204661,0.06085122376680374,-19.392807,-32.937686401983996,7.6050425,-7.277473172762547,-19.506756,-0.9734025001525879,18.688069587261683,1.2147559598327664,100,-25.08115044219638,100.0,10.76454,11.044006,0.024155755,15,0.735336080437854,-0.12219658,100.0,10.789916
