exploration/Rewards Min,trainer/Q2 Predictions Std,exploration/Returns Min,evaluation/Returns Max,trainer/Policy log std Std,evaluation/num steps total,trainer/Q1 Predictions Mean,evaluation/Rewards Std,evaluation/Actions Max,exploration/path length Std,trainer/Policy mu Std,time/epoch (s),trainer/Log Pis Mean,exploration/Actions Std,time/training (s),evaluation/Returns Min,evaluation/path length Min,trainer/Q Targets Mean,trainer/Q Targets Max,trainer/Q1 Predictions Max,trainer/Q Targets Std,replay_buffer/size,trainer/Log Pis Std,trainer/Q2 Predictions Mean,trainer/QF2 Loss,exploration/Returns Mean,exploration/num paths total,time/exploration sampling (s),trainer/Policy log std Max,exploration/Actions Mean,evaluation/Num Paths,trainer/QF1 Loss,trainer/Policy mu Min,time/data storing (s),exploration/Returns Std,trainer/Policy log std Min,exploration/Rewards Std,trainer/Log Pis Min,exploration/path length Min,evaluation/Returns Std,evaluation/num paths total,evaluation/path length Mean,trainer/Log Pis Max,exploration/Average Returns,trainer/Q1 Predictions Std,time/saving (s),exploration/path length Mean,exploration/Num Paths,exploration/Rewards Mean,exploration/Actions Max,trainer/Q1 Predictions Min,time/total (s),trainer/Policy mu Mean,trainer/Q2 Predictions Min,trainer/Policy log std Mean,Epoch,time/evaluation sampling (s),evaluation/Actions Min,trainer/Policy Loss,trainer/Alpha Loss,trainer/Policy mu Max,evaluation/Returns Mean,trainer/Alpha,exploration/Rewards Max,trainer/Q Targets Min,evaluation/Average Returns,evaluation/Actions Mean,exploration/Actions Min,time/logging (s),exploration/Returns Max,evaluation/Rewards Max,exploration/num steps total,trainer/Q2 Predictions Max,evaluation/Rewards Min,evaluation/Rewards Mean,exploration/path length Max,evaluation/path length Max,evaluation/path length Std,evaluation/Actions Std
-9.557204119779152,11.592874,-101.38413972256235,-27.535855526531353,0.13789734,16500,-24.077698,0.941006493589078,0.9840657,0.0,0.82305104,2.552159468999889,-0.17230326,0.4721173,2.0410633309948025,-76.8601387320595,100,-23.62133,-0.4938752,-18.983076,11.409238,5700,1.3338928,-24.05781,9.236884,-78.83406528307732,57,0.1604914249983267,-0.42955822,0.039552294,15,9.325831,-1.9499573,0.004504571006691549,14.505560246017987,-0.9616985,0.9851852215489293,-3.5326166,100,14.68266799952861,165,100.0,5.1414013,-78.83406528307732,11.58014,0.0019205479984520935,100.0,5,-0.7883406528307734,0.997477,-87.04788,28.809277887987264,0.069011405,-87.24523,-0.7541908,10,0.33923345299990615,-0.94190043,22.446518,-2.9893784523010254,2.2426312,-46.0495523149164,0.25248074531555176,-0.0498182843552175,-79.97965,-46.0495523149164,0.03128014,-0.91218626,0.0049461410017102025,-62.003444624530864,-0.2181178571500048,5700,-18.881023,-9.435563165925881,-0.4604955231491639,100,100,0.0,0.17692913
-7.198428764352506,12.205595,-75.374493455575,-11.558777366676395,0.14961654,18000,-24.352373,0.8471084903461892,0.98685235,0.0,0.8081277,2.5403360680065816,0.1596453,0.4392086,2.0284192580002127,-66.8879473766077,100,-24.563963,-19.222906,-19.38702,12.0367365,6200,1.4165653,-24.36773,0.8660335,-66.21368038791208,62,0.15735367799788946,-0.5004816,0.036910642,15,0.87496024,-1.9177754,0.0031289860053220764,8.721207215687308,-1.0836214,0.8090209726103708,-3.0525792,100,15.681975625445551,180,100.0,4.965313,-66.21368038791208,12.177983,0.0018707249982981011,100.0,5,-0.6621368038791209,0.99700946,-86.976074,31.353613241990388,0.19084129,-87.599945,-0.84070456,11,0.34478252500412054,-0.9339755,23.267622,-2.7869341373443604,2.3607447,-26.383806065138238,0.21989195048809052,-0.009251184326828484,-87.60199,-26.383806065138238,0.021349803,-0.9314548,0.004780896000738721,-52.67151246714419,-0.1131345883019162,6200,-19.350376,-10.955033487204314,-0.2638380606513824,100,100,0.0,0.15675208
-7.850852866463593,8.968203,-77.57673621208335,-13.671735532298744,0.17654249,19500,-23.050486,1.2139908474087675,0.9857645,0.0,0.74314475,2.560042720993806,0.11307848,0.42022115,2.0568968070001574,-68.03768414866906,100,-23.409039,-19.610052,-19.396244,9.040544,6700,1.6375707,-23.034424,0.33225504,-64.13239197061621,67,0.1559205169978668,-0.49565744,0.030690813,15,0.32153818,-2.0205343,0.0028846929999417625,13.311496633891222,-1.2124854,0.9391852122962979,-3.1312916,100,20.638095287266765,195,100.0,6.33713,-64.13239197061621,8.957761,0.0019726869941223413,100.0,5,-0.6413239197061621,0.9967068,-73.96208,33.918122284987476,0.23240845,-73.79286,-0.9600876,12,0.3377087600019877,-0.9407079,22.489435,-3.11287260055542,2.394376,-38.182862137671734,0.19205377995967865,-0.033099923309691796,-75.04122,-38.182862137671734,0.03767176,-0.98522615,0.0046592569997301325,-44.44721945424572,-0.12360249635796072,6700,-19.245882,-11.278271044862624,-0.3818286213767173,100,100,0.0,0.19326632
-9.922420886084186,11.279097,-93.43980651270279,-25.130497078070267,0.22275811,21000,-23.701754,1.1628514883949257,0.98594457,0.0,0.7607533,2.572493444997235,0.21185447,0.40029436,2.0606564019981306,-74.75315289448723,100,-23.939552,-1.9909322,-19.431707,11.724168,7200,1.4128677,-23.707525,4.646436,-69.00612848183349,72,0.15592708500480512,-0.41229582,0.042168517,15,4.728833,-1.5457828,0.0032309339949279092,17.273187179515055,-1.3524213,1.0453155453600669,-4.136554,100,17.33595053436287,210,100.0,4.5001774,-69.00612848183349,11.257529,0.0021627320020343177,100.0,5,-0.6900612848183348,0.99496555,-75.62538,36.49463588998333,0.23345527,-75.685814,-1.0264008,13,0.34610878999956185,-0.9697151,23.18241,-3.184732675552368,2.4665728,-49.28068346821468,0.16842016577720642,-0.03139212024047212,-76.6986,-49.28068346821468,0.04359787,-0.85851526,0.004407501997775398,-44.34408931204598,-0.18383517673573982,7200,-19.489342,-10.487749058018789,-0.49280683468214675,100,100,0.0,0.19943383
-9.938890500866199,8.763845,-92.61048214553038,-20.49117031969216,0.20728393,22500,-22.455599,1.2546430096862136,0.9893375,0.0,0.72663474,2.557330728006491,0.5531396,0.3643558,2.0511309010034893,-70.53297334567829,100,-22.34326,-0.40658283,-19.486767,9.557516,7700,1.4219285,-22.473303,11.562549,-52.49687697001832,77,0.15770630299812183,-0.52674854,0.016574128,15,11.527319,-1.8448116,0.0030125039993436076,20.44530398592071,-1.4048463,0.8346173465299742,-3.5036132,100,13.510359736293063,225,100.0,5.926868,-52.49687697001832,8.769943,0.001980000000912696,100.0,5,-0.524968769700183,0.9971179,-75.38134,39.055972952977754,0.16180298,-75.39109,-1.1522686,14,0.33835915500094416,-0.97102946,22.482563,-2.7565793991088867,2.6015575,-49.421506618316585,0.14875364303588867,-0.023210539656707052,-75.997856,-49.421506618316585,0.04412499,-0.9703041,0.005141865003679413,-38.01402244967294,-0.19492666200480027,7700,-19.479122,-10.067788486748812,-0.4942150661831659,100,100,0.0,0.21113697
-8.598332792814908,13.353583,-76.64567053560408,-19.27497806435342,0.24551594,24000,-25.421572,1.0673957725563796,0.9900343,0.0,0.9882646,2.5419799229930504,0.9114352,0.37292036,2.030171092999808,-60.32900991453804,100,-25.657404,-19.921648,-19.737011,13.312391,8200,1.7016102,-25.41824,0.35081586,-56.22206097175158,82,0.15966980099619832,-0.46921843,0.03687269,15,0.37131575,-2.4227006,0.0029709159935009666,13.109059070930769,-1.4615333,0.9472657922525065,-3.2827463,100,12.925963990448984,240,100.0,7.222988,-56.22206097175158,13.335682,0.0019383850012673065,100.0,5,-0.5622206097175155,0.9991758,-91.3409,41.602450533966476,0.12343707,-91.58037,-1.1370085,15,0.34248096800001804,-0.95651513,24.897,-2.2070701122283936,2.656204,-41.27462415339817,0.13163220882415771,-0.02307975487965301,-89.42641,-41.27462415339817,0.042232532,-0.94186574,0.004748760002257768,-38.56396614937984,-0.1865964927648869,8200,-19.764135,-10.07177253425091,-0.41274624153398193,100,100,0.0,0.20074484
-9.74309670504238,11.145717,-85.71388533795518,-21.36337779094558,0.27468282,25500,-23.883257,1.060168317303919,0.99233645,0.0,0.873822,2.5574330130039016,0.78980994,0.36923534,2.0453390779948677,-72.58373416117198,100,-24.086103,-19.783356,-19.72006,10.91383,8700,1.52154,-23.893211,0.54449177,-62.83230409490469,87,0.1590848170017125,-0.18375611,0.048189383,15,0.5777061,-1.856515,0.003089010002440773,15.855740667906481,-1.5549935,1.180736114154461,-2.8081677,100,17.641756758858556,255,100.0,6.615367,-62.83230409490469,11.138909,0.0019527090043993667,100.0,5,-0.6283230409490468,0.9985577,-80.89099,44.16392051697039,0.112067014,-81.2792,-1.2202352,16,0.34315633199730655,-0.9818617,23.590664,-2.5992069244384766,2.6457114,-42.37416063664514,0.11671549081802368,-0.04306065571958602,-82.106094,-42.37416063664514,0.027364176,-0.8745367,0.004811067003174685,-44.5405647042637,-0.18544095083626627,8700,-19.683422,-10.141686069007715,-0.42374160636645153,100,100,0.0,0.1869001
-9.860958683828791,9.430573,-84.0978558286321,-21.17384983413945,0.29826543,27000,-23.054348,0.8510683297214391,0.9944904,0.0,0.85269475,2.55594667801779,1.0103647,0.3280846,2.0454188010044163,-69.64172380988155,100,-22.76878,-0.85972875,-19.838614,9.5744505,9200,1.5434604,-23.07064,4.0946417,-50.42115452094275,92,0.15892628900473937,-0.5091607,0.020902945,15,4.0698996,-2.5919828,0.003067126002861187,21.348660575251376,-1.7355263,1.0065741002152395,-3.015879,100,14.590696761138528,270,100.0,6.678984,-50.42115452094275,9.394214,0.0024057710033957846,100.0,5,-0.5042115452094275,0.9984579,-84.45521,46.72374917197885,0.11693205,-84.8146,-1.3552524,17,0.3411657730030129,-0.9660747,23.163715,-2.2385640144348145,2.6832151,-36.036426070909364,0.10411904752254486,-0.017517617673240476,-85.49039,-36.036426070909364,0.027921608,-0.9726123,0.004962917999364436,-32.53423360938199,-0.17892136711019996,9200,-19.795603,-9.53483971998893,-0.3603642607090936,100,100,0.0,0.17212388
-9.568531632635427,8.425719,-67.84545271949048,-16.076382299381,0.30659407,28500,-22.150427,0.8573038067412805,0.99020624,0.0,0.8238932,2.532798874999571,1.1734974,0.32414758,2.0266633270002785,-66.46652325045663,100,-22.55882,-19.49089,-19.208706,8.407447,9700,1.6406971,-22.155918,0.46749696,-47.73192888135744,97,0.1579527810026775,-0.52068686,0.04177419,15,0.46212417,-2.3288295,0.0029524760029744357,14.852069316426078,-1.7857292,1.0018835258149865,-2.1517553,100,14.99490340229976,285,100.0,7.075892,-47.73192888135744,8.4348,0.0019215749998693354,100.0,5,-0.47731928881357444,0.9965408,-79.494156,49.260799870986375,0.20894992,-79.55288,-1.3996216,18,0.3393613109947182,-0.9896948,22.551964,-1.9637465476989746,2.6225998,-30.898942322017295,0.09290343523025513,-0.018274058783999892,-76.91203,-30.898942322017295,0.020007472,-0.68483055,0.003947404999053106,-29.68790304905175,-0.14509360208275365,9700,-19.164234,-9.681415107008005,-0.308989423220173,100,100,0.0,0.17448613
-8.112346356963297,12.750806,-58.88484494086506,-17.312108022622876,0.30262205,30000,-23.396648,1.1568802409591505,0.9957254,0.0,0.8741643,2.568717075002496,1.3903024,0.30226,2.053297806996852,-70.95313810528599,100,-23.359695,-0.47740886,-19.250961,13.165184,10200,1.7760736,-23.400354,3.880606,-41.81642973824374,102,0.15366085200366797,-0.38734534,0.024607278,15,3.895163,-1.4145727,0.002985952996823471,14.14950305330449,-1.8630611,0.8861960152005277,-2.3302019,100,17.95783684536289,300,100.0,8.13793,-41.81642973824374,12.699055,0.01485231699916767,100.0,5,-0.4181642973824373,0.9991822,-90.27966,51.83310967498983,0.296414,-90.68726,-1.4981695,19,0.3390884990003542,-0.97241527,23.81855,-1.5137933492660522,2.9435968,-36.73356523965662,0.08348938822746277,-0.013351984231034009,-91.5788,-36.73356523965662,0.036435932,-0.9514984,0.004831647005630657,-26.54881008319817,-0.10241542083626308,10200,-19.284876,-11.851566540771227,-0.3673356523965661,100,100,0.0,0.20478113
-9.566307646110298,9.020373,-69.08017447288582,-10.321711332650178,0.2940856,31500,-21.48842,1.1796614889537032,0.9965618,0.0,0.8284811,2.489369186994736,1.1678761,0.30117473,1.9939293860006728,-62.190737571401364,100,-21.536196,-0.21478751,-18.882502,9.6249895,10700,1.66059,-21.464676,3.8050807,-40.60480333264122,107,0.15146569000353338,-0.63876337,0.01634992,15,3.8080852,-2.2348332,0.0027981439998256974,16.506125721133614,-1.8947116,0.956988657830962,-4.0872974,100,16.1722852921204,315,100.0,8.10787,-40.60480333264122,9.0383005,0.001960655994480476,100.0,5,-0.4060480333264122,0.99870336,-85.18424,54.32719826999528,0.21016175,-85.24891,-1.534601,20,0.33439457199710887,-0.9565712,21.94157,-2.1475160121917725,2.971722,-35.91289825021754,0.07570221275091171,-0.01732433373245932,-90.07793,-35.91289825021754,0.04128995,-0.9937478,0.0048207389991148375,-24.6700843717373,-0.07816364487135094,10700,-18.859673,-11.19973195505014,-0.3591289825021754,100,100,0.0,0.20727688
-11.283016237916312,5.0755835,-76.20635027744004,-14.581084230380158,0.3086697,33000,-20.39931,1.860473457430803,0.9982183,0.0,0.75732255,2.497725105007703,1.2759898,0.2996656,1.9996771709993482,-700.9151963906004,100,-20.563755,-18.676052,-18.595009,5.275352,11200,1.446632,-20.392834,0.18303366,-49.05879586188444,112,0.15428325100219809,-0.44586316,0.044597473,15,0.18582582,-2.647079,0.002972020003653597,21.680252633577062,-2.0,1.2627740396025011,-3.9704978,100,167.92970712781832,330,100.0,5.8934336,-49.05879586188444,5.0570645,0.0019711700006155297,100.0,5,-0.49058795861884447,0.99885774,-59.130592,56.82939720099239,0.03065082,-59.179207,-1.6702528,21,0.3353067669959273,-0.9807272,21.051231,-1.9369614124298096,2.7103977,-74.12333056281389,0.0688738152384758,-0.014710216790895977,-62.16797,-74.12333056281389,0.068170056,-0.9890935,0.003514726005960256,-28.372436889747803,-0.11220115936603739,11200,-18.661402,-8.898820784671146,-0.7412333056281377,100,100,0.0,0.24883813
-10.53238719476441,9.617115,-71.02954393442631,-14.500090907920336,0.42820713,34500,-22.22822,0.9411906091184671,0.9955678,0.0,1.0370765,2.491125614986231,1.8514736,0.29070067,1.9921883849965525,-60.74495987602952,100,-22.267054,-0.5124082,-18.229567,9.918441,11700,1.8536909,-22.205889,3.51417,-46.77168446368803,117,0.1513348859953112,-0.40549082,0.042815354,15,3.5084686,-2.8694592,0.002934552998340223,17.757114876128185,-2.0,1.1771895656958455,-2.7069592,100,16.115994050725906,345,100.0,8.444853,-46.77168446368803,9.646216,0.0019693880021804944,100.0,5,-0.4677168446368803,0.99897724,-68.666725,59.324705737984914,0.21037231,-68.44683,-1.6063905,22,0.3377981359953992,-0.9906055,23.070328,-0.4091818928718567,2.8940427,-31.787812720593998,0.0636027529835701,-0.011866510462113742,-68.59313,-31.787812720593998,0.023528663,-0.9919332,0.004900266998447478,-22.824269789240365,-0.09574269179693053,11700,-18.226816,-10.318828689479437,-0.31787812720594,100,100,0.0,0.18097089
