replay_buffer/size,time/training (s),trainer/Q1 Predictions Max,trainer/Q Targets Max,evaluation/Rewards Min,evaluation/Rewards Max,exploration/Returns Max,trainer/Q Targets Mean,evaluation/Returns Mean,trainer/QF2 Loss,evaluation/path length Mean,trainer/Policy mu Min,evaluation/Average Returns,exploration/num steps total,evaluation/num paths total,evaluation/path length Min,exploration/Actions Std,exploration/Returns Mean,trainer/Log Pis Max,time/data storing (s),trainer/Policy mu Std,exploration/num paths total,trainer/Policy log std Mean,trainer/Q2 Predictions Min,trainer/Log Pis Mean,trainer/Policy log std Max,trainer/Policy log std Std,evaluation/Actions Max,evaluation/Returns Max,exploration/Rewards Std,trainer/Q Targets Min,time/total (s),evaluation/Actions Std,exploration/Returns Std,evaluation/Returns Min,trainer/Policy log std Min,exploration/Actions Mean,exploration/path length Max,exploration/path length Min,trainer/Log Pis Min,time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),trainer/Q2 Predictions Std,exploration/Actions Max,trainer/Log Pis Std,trainer/Policy mu Mean,trainer/Alpha,evaluation/Rewards Mean,exploration/path length Mean,trainer/Q1 Predictions Std,trainer/Alpha Loss,trainer/Q1 Predictions Min,exploration/Actions Min,evaluation/Rewards Std,Epoch,evaluation/Returns Std,trainer/Q2 Predictions Mean,evaluation/Num Paths,exploration/Rewards Max,trainer/Q Targets Std,exploration/Num Paths,trainer/Policy Loss,exploration/Rewards Mean,time/logging (s),evaluation/num steps total,trainer/Q1 Predictions Mean,evaluation/Actions Mean,evaluation/path length Std,exploration/path length Std,trainer/Policy mu Max,exploration/Rewards Min,evaluation/Actions Min,exploration/Returns Min,evaluation/path length Max,time/saving (s),trainer/Q2 Predictions Max,exploration/Average Returns,trainer/QF1 Loss
100000,1.9765297129633836,-7.694733,-0.87809813,-9.343286562725236,-0.12755989109784593,-23.73260413330925,-45.878418,-117.92121585349697,29.605913,100.0,-3.4270713,-117.92121585349697,183700,5505,100,0.22842254,-159.99826150248262,7.2127266,0.002573584031779319,0.6864653,1837,-2.1374297,-151.3366,2.177037,0.14490834,0.4563807,0.99836916,-19.819412820337522,1.3887682782691169,-151.95384,900.434303660877,0.17355879,106.58474946761783,-274.45667209208904,-2.9291139,-0.018777965,100,100,-0.62564677,2.458887268032413,0.33431090298108757,0.1387682140339166,46.106762,0.98410976,1.1899712,-0.06195513,0.06122014671564102,-1.1792121585349697,100.0,46.150337,0.4945247173309326,-151.39217,-0.9991743,1.108731324054334,366,75.10335418879934,-45.846714,15,-0.010262972787630689,46.791492,5,47.832325,-1.599982615024826,0.004773835011292249,550500,-45.879864,0.02308877,0.0,0.0,3.6436918,-9.638546099499862,-0.9992861,-276.1739412551211,100,0.0019310190109536052,-7.761134,-159.99826150248262,29.212729
100000,1.9824564140290022,-7.759537,-0.17142105,-9.383414534873125,-0.01239914037627739,-15.948951654456822,-48.55754,-57.97671798504509,142.30719,100.0,-2.472384,-57.97671798504509,184200,5520,100,0.19974989,-124.18822306715647,9.500879,0.0027624680078588426,0.6129175,1842,-2.1650367,-151.86621,1.9605927,-0.43366736,0.45563748,0.99621993,-10.136297434682279,1.2747382617089604,-152.45662,902.8915792969055,0.18184158,104.24851228787342,-196.05883672816447,-2.758027,-0.018784437,100,100,-1.6794653,2.4527681150939316,0.32411174301523715,0.13737109099747613,48.760647,0.94700694,1.3019058,0.03683652,0.0641964003443718,-0.579767179850451,100.0,48.7347,-0.10820282250642776,-151.70238,-0.9999132,0.9995741385176736,367,47.889898074149954,-49.669125,15,-0.008283901403335294,48.77367,5,51.42751,-1.241882230671565,0.0037442540051415563,552000,-49.703053,-0.004133044,0.0,0.0,2.9882634,-8.383305069299215,-0.99807036,-283.57508356370414,100,0.002322145039215684,-7.7377696,-124.18822306715647,142.3099
100000,1.967055405024439,-7.861012,-7.9152584,-8.366188750673016,-0.011312463614604673,-12.903899440982872,-45.195656,-80.1236791485012,0.89637953,100.0,-2.4669652,-80.1236791485012,184700,5535,100,0.21261577,-28.121509811182584,4.381633,0.0028250699979253113,0.5610949,1847,-2.1475437,-151.84218,1.8240938,-0.23300216,0.4665698,0.9989843,-3.6177276226618673,0.7800622656016278,-153.18661,905.3460291030351,0.17603451,12.005395362032106,-280.3460695648502,-2.829805,-0.0059412452,100,100,-1.3367918,2.4499051400343888,0.3243231980013661,0.15030656504677609,40.58555,0.9990864,1.2271322,0.018711794,0.06439009308815002,-0.8012367914850119,100.0,40.523132,-0.48247095942497253,-150.53775,-0.99871904,1.1188089941637804,368,80.67734460707402,-44.608246,15,-0.004211106369039017,41.097805,5,46.121563,-0.28121509811182593,0.003561877994798124,553500,-44.578724,0.003347169,0.0,0.0,2.6619914,-8.952613925079737,-0.9973803,-48.75774731870627,100,0.0018330239690840244,-7.8353105,-28.121509811182584,0.981904
100000,1.9844509130343795,-7.853768,-0.19948122,-8.48174943522232,-0.01769116615322115,-51.807232152492084,-39.166996,-123.68598857215986,107.869644,100.0,-3.0751774,-123.68598857215986,185200,5550,100,0.20480128,-194.55112580701558,5.9648113,0.0027430399786680937,0.34053707,1852,-2.3213825,-143.52847,1.9557425,-0.76485574,0.30152214,0.9981382,-8.84326278679167,1.1456485163239578,-145.85092,907.8069093910744,0.1571824,83.33815228044725,-276.3890361258955,-2.9118173,0.000433218,100,100,-1.9297395,2.4563710730872117,0.32434299698797986,0.1380797420279123,39.45171,0.9988506,1.1397403,0.01577564,0.06337554007768631,-1.2368598857215987,100.0,39.520374,-0.12209416180849075,-143.90985,-0.9973992,1.130235216630525,369,92.61147885861305,-40.014732,15,-0.008042397885893242,40.016747,5,41.86374,-1.9455112580701557,0.004788439022377133,555000,-40.051968,-0.008409128,0.0,0.0,0.92693394,-8.607231407559324,-0.99971616,-278.7609079293357,100,0.001965942035894841,-7.8588824,-194.55112580701558,108.27432
100000,1.991019212990068,-7.7316284,-0.10807582,-9.72139112301152,-0.053958433975370694,-17.26790596661194,-50.774902,-94.11484289115054,101.46107,100.0,-3.1685421,-94.11484289115054,185700,5565,100,0.22590202,-56.75282826667177,4.8486485,0.0031028420198708773,0.5623099,1857,-2.1141403,-152.01532,1.8675519,-0.3980509,0.440157,0.9983581,-14.462576266778724,1.1484176083311086,-152.7962,910.2812133341795,0.1738378,32.62478497170364,-273.67896623364004,-2.7888453,-0.016866257,100,100,-0.87011546,2.4702816330827773,0.32913480704883114,0.1358222680282779,49.875835,0.9970026,1.0487934,-0.110211655,0.06553344428539276,-0.9411484289115057,100.0,49.84397,-0.3609248697757721,-150.53368,-0.99970245,1.1334832401107309,370,86.62680596961025,-51.74538,15,-0.010872619431768142,51.39673,5,53.27445,-0.5675282826667177,0.004891621007118374,556500,-51.751163,0.0023239201,0.0,0.0,1.9162014,-10.491704646464104,-0.99679756,-107.93717369466712,100,0.006310881988611072,-7.749058,-56.75282826667177,102.669876
100000,1.9683600930147804,-7.8912764,-7.788877,-10.011102377999222,-0.04760954399448288,-20.115480939472743,-43.329674,-152.76579274130924,0.50410324,100.0,-2.4145536,-152.76579274130924,186200,5580,100,0.21390693,-116.69370735664256,6.236079,0.002619180013425648,0.57318336,1862,-2.1993678,-148.09164,1.9003628,-0.47484225,0.4485541,0.9993064,-5.806780301768396,1.0120220506897666,-149.86325,912.7263524332084,0.1794554,62.85167196711245,-294.1063437753015,-2.8931258,0.01395997,100,100,-4.8198824,2.4405369110172614,0.32644205598626286,0.13642187701771036,42.276375,0.99840236,1.3590823,-0.003491385,0.06428159028291702,-1.5276579274130924,100.0,42.285217,-0.2734467387199402,-148.49199,-0.9910216,1.3875257438672994,371,109.94026964139364,-42.86096,15,-0.010969697408244345,42.652245,5,44.57593,-1.1669370735664253,0.004783038981258869,558000,-42.86953,-0.00724403,0.0,0.0,3.0722182,-9.835069396864707,-0.9978682,-169.92910733246813,100,0.0019106660038232803,-7.862195,-116.69370735664256,0.44914365
100000,1.9686679320293479,-7.583473,-2.522009,-9.67649196754851,-0.0100401125504805,-17.948496215580924,-44.168,-87.81648222347226,139.22493,100.0,-1.6576158,-87.81648222347226,186700,5595,100,0.22221678,-71.354528952926,4.8713,0.0026759839965961874,0.56258714,1867,-2.1283634,-144.60779,1.9867874,-0.43885368,0.41854346,0.99777764,-17.069485032535418,1.1497490363154674,-146.60597,915.1803743182682,0.19724889,75.10775941891364,-226.08912725905012,-2.8522844,-0.021368235,100,100,-1.0478909,2.450019961979706,0.33162701199762523,0.140359433949925,43.267815,0.9970454,0.8935969,0.03529884,0.0683533325791359,-0.8781648222347226,100.0,43.338997,-0.03544960916042328,-144.28848,-0.99958843,1.25002539088575,372,65.08019361146833,-45.04692,15,-0.004793991613072707,43.165936,5,46.82429,-0.71354528952926,0.004775787005200982,559500,-45.06492,-0.0065656817,0.0,0.0,3.0739145,-8.589548290343984,-0.99874485,-219.30999784938496,100,0.001913813001010567,-7.603146,-71.354528952926,138.60693
100000,1.9825684949755669,-7.887541,-7.6384654,-10.70602744662586,-0.03758769440626611,-52.31304325438034,-44.15867,-48.75462291677114,0.6528813,100.0,-2.9305823,-48.75462291677114,187200,5610,100,0.26414943,-193.4469913837619,7.767214,0.002666718966793269,0.64712185,1872,-2.1915839,-143.9258,2.0532846,0.31594476,0.4818045,0.99910444,-12.757777725860379,1.2162218668735505,-144.10237,917.6418099842849,0.21294886,77.63825525373645,-84.02830515112531,-2.7746327,-0.00038491632,100,100,-1.3015883,2.456652519002091,0.32774001703364775,0.13695666601415724,42.688404,0.9979787,1.3155133,0.05620143,0.0683065801858902,-0.48754622916771134,100.0,42.668118,0.14299160242080688,-144.0254,-0.9982414,1.2065256003801035,373,18.397523103732894,-43.93844,15,-0.0028874948607628594,43.00226,5,45.83607,-1.9344699138376191,0.004783361975569278,561000,-43.883785,0.003008732,0.0,0.0,3.8814855,-9.077000090829273,-0.9978615,-289.195461492876,100,0.0019372600363567472,-7.890458,-193.4469913837619,0.5054146
100000,1.9642409199732356,-7.356303,-0.100058556,-11.784242205841947,-0.006381192609933678,-53.98018186718966,-44.11576,-74.75697984438013,29.715363,100.0,-2.8876085,-74.75697984438013,187700,5625,100,0.21200673,-158.25785297683288,3.6426027,0.002683726022951305,0.54832387,1877,-2.1731696,-143.5104,1.9469963,-0.4040827,0.46007362,0.9993907,-12.292459514331284,1.2637703714215955,-144.12839,920.0842230762355,0.18246593,89.48194909615094,-214.19220321718043,-2.8810863,-0.014255534,100,100,-1.3660328,2.4379039480700158,0.32509329804452136,0.13947736500995234,44.639503,0.98907727,0.9642577,-0.0020058644,0.06747101992368698,-0.7475697984438014,100.0,44.61221,-0.14289934933185577,-143.74571,-0.9996355,1.2096101007784046,374,68.5542599872965,-44.262936,15,-0.01696544288372741,45.37529,5,45.959282,-1.5825785297683284,0.004763786040712148,562500,-44.234722,0.012543495,0.0,0.0,2.45677,-8.224187201143152,-0.995183,-281.7100966772701,100,0.00164485297864303,-7.420239,-158.25785297683288,29.592365
100000,1.984299284988083,-7.682389,-0.041240767,-11.302766979448261,-0.0433187260195807,-18.611875262734184,-45.955223,-132.49289915445112,2.1819072,100.0,-1.8645214,-132.49289915445112,188200,5640,100,0.20711993,-33.38319466089794,7.8239546,0.0026153220096603036,0.6239104,1882,-2.1287627,-150.08173,1.7063273,-0.46095008,0.47619885,0.998893,-7.562440686596267,0.8381334236046775,-150.25787,922.5549669032916,0.1846776,14.631633089782495,-268.3268600793755,-2.8976405,0.008685001,100,100,-2.2333446,2.4662982930312864,0.33290250302525237,0.14000864600529894,45.069675,0.99993545,1.3685135,0.07872434,0.06675051152706146,-1.3249289915445115,100.0,45.07086,-0.794883131980896,-150.06699,-0.99947923,1.2961748405409723,375,99.02837846244273,-46.008087,15,-0.01078313272633785,45.330986,5,47.490597,-0.3338319466089794,0.004749857005663216,564000,-46.017334,-0.010277801,0.0,0.0,3.1315305,-9.36492432690224,-0.9989503,-59.52564466413456,100,0.0017226799973286688,-7.705809,-33.38319466089794,2.1088037
100000,1.9798012290266342,-7.716861,-0.20933802,-9.586315296616059,-0.007405545459911046,-44.08525042152768,-46.60332,-70.6082247018357,0.7281384,100.0,-2.6171885,-70.6082247018357,188700,5655,100,0.25302052,-116.66602620901669,4.8783674,0.002759352035354823,0.6298892,1887,-2.1487525,-151.00755,1.9668823,-0.44297627,0.44870257,0.9979705,-6.472058081969821,1.3927456228446027,-150.02618,925.0138012584066,0.1662524,58.78639870521468,-243.1132554121007,-2.8283207,-0.013517641,100,100,-2.405273,2.45423555909656,0.3265271999989636,0.13846784201450646,49.108486,0.99819756,1.2408673,-0.07694862,0.06753569096326828,-0.7060822470183569,100.0,49.076206,-0.08925370872020721,-150.27127,-0.9998315,0.9769829983241816,376,69.48674245789056,-46.7782,15,-0.007871314348316826,49.0779,5,48.50728,-1.1666602620901667,0.004753582994453609,565500,-46.761772,0.0017111137,0.0,0.0,2.7358394,-9.62959028194365,-0.9990445,-193.59178675784537,100,0.0019263530266471207,-7.7525225,-116.66602620901669,0.71256703
100000,1.9730888810008764,-7.6404777,-7.686442,-10.927407343773133,-0.015558291485152838,-27.475106551665537,-43.4981,-94.76272065064288,0.50616544,100.0,-2.1614618,-94.76272065064288,189200,5670,100,0.19627734,-168.92245874697971,4.4212604,0.00279561203205958,0.5243287,1892,-2.2175376,-148.6655,2.1193724,-0.8200865,0.38563684,0.99944925,-7.256815756027014,1.1154382424833689,-150.33607,927.4627310435171,0.1921501,101.23730315597031,-280.7516302699583,-2.736749,-0.016094344,100,100,-1.008647,2.444305042969063,0.32367889798479155,0.1380586139857769,44.34844,0.9969504,0.97092044,-0.035339735,0.06709595024585724,-0.9476272065064288,100.0,44.377525,0.32251298427581787,-149.30266,-0.9968521,1.3503584397459667,377,92.22262377703112,-43.05542,15,-0.015631501704845206,44.667793,5,44.948654,-1.6892245874697973,0.004696162999607623,567000,-43.09228,0.007314378,0.0,0.0,2.72537,-6.73484863064628,-0.99868274,-280.55886347778863,100,0.0019868749659508467,-7.667536,-168.92245874697971,0.4685279
100000,1.9875003889901564,-7.726859,-7.603106,-8.749068957657984,-0.044144677578840844,-18.595007254573805,-44.101578,-64.53296424034032,1.3475647,100.0,-2.996084,-64.53296424034032,189700,5685,100,0.20554341,-136.10306539460672,4.3123717,0.002808300021570176,0.52326065,1897,-2.1936607,-142.53716,2.1173525,-0.55605924,0.38131955,0.9991293,-8.860453827421301,1.0848476442996775,-146.10037,929.9290893295547,0.14944002,93.6737558297281,-218.84740160311026,-2.8093596,-0.0052056797,100,100,-1.3783742,2.4624839610187337,0.33008010301273316,0.13568041299004108,41.789806,0.9962574,0.9348542,-0.13133663,0.06742817908525467,-0.6453296424034031,100.0,41.755775,0.316471129655838,-142.18031,-0.99895597,0.9490571729377327,378,63.648016308737965,-43.361393,15,-0.012852683281159238,42.58796,5,45.24839,-1.3610306539460668,0.004461131989955902,568500,-43.346092,0.000795853,0.0,0.0,2.08483,-7.38543986638844,-0.9990125,-240.19137368348208,100,0.001953624014277011,-7.740871,-136.10306539460672,1.4436156
