evaluation/Returns Max,exploration/Actions Min,trainer/QF1 Loss,evaluation/Returns Std,trainer/Alpha,exploration/Rewards Min,trainer/Q1 Predictions Max,trainer/Log Pis Std,exploration/path length Max,evaluation/path length Max,trainer/Alpha Loss,trainer/Policy mu Mean,trainer/Q1 Predictions Std,evaluation/Num Paths,evaluation/Actions Mean,evaluation/path length Mean,time/total (s),evaluation/Returns Min,evaluation/path length Std,time/logging (s),trainer/Policy mu Min,trainer/Q1 Predictions Min,trainer/Policy mu Max,trainer/Policy log std Max,Epoch,trainer/Q Targets Min,exploration/Actions Mean,trainer/Q2 Predictions Mean,trainer/Q Targets Std,trainer/Q2 Predictions Min,trainer/Policy mu Std,evaluation/Average Returns,exploration/path length Min,exploration/Rewards Max,time/saving (s),evaluation/num steps total,evaluation/Actions Max,trainer/Q2 Predictions Std,trainer/Policy log std Min,trainer/Policy log std Mean,trainer/Q1 Predictions Mean,exploration/Returns Std,evaluation/Returns Mean,trainer/Policy log std Std,trainer/QF2 Loss,trainer/Log Pis Max,exploration/num paths total,exploration/Returns Mean,exploration/Num Paths,exploration/Rewards Mean,time/exploration sampling (s),evaluation/path length Min,exploration/Returns Max,evaluation/Actions Std,trainer/Q Targets Max,evaluation/Rewards Max,exploration/path length Std,exploration/num steps total,trainer/Policy Loss,evaluation/Rewards Mean,exploration/Actions Std,exploration/Actions Max,trainer/Log Pis Min,evaluation/Rewards Min,time/evaluation sampling (s),evaluation/num paths total,time/training (s),time/data storing (s),evaluation/Actions Min,time/epoch (s),evaluation/Rewards Std,trainer/Log Pis Mean,exploration/Rewards Std,exploration/path length Mean,trainer/Q Targets Mean,exploration/Returns Min,replay_buffer/size,trainer/Q2 Predictions Max,exploration/Average Returns
-9.554999704805063,-0.99771714,25.427652,15.146092311870987,0.19216999411582947,-8.984927808337089,-21.485853,1.5504663,100,100,-2.9391798973083496,-0.17018592,9.065482,15,-0.032160595,100.0,36.49177612896892,-60.955122207673824,0.0,0.004777574002218898,-2.4592125,-69.436844,1.7102941,-0.5366491,12,-70.96062,-0.043189265,-25.710304,8.692903,-69.38291,0.85421425,-25.25679318455222,100,-0.03303531102374855,0.002158155999495648,19500,0.91855717,9.051627,-1.0747877,-0.8956218,-25.728582,12.709651405029552,-25.25679318455222,0.12546286,25.224,5.1379976,67,-66.0195729033936,5,-0.6601957290339359,0.1654030080026132,100,-46.68445597502053,0.17729636,-9.409234,-0.049743192687600066,0.0,6700,25.117407,-0.2525679318455222,0.44437245,0.94401956,-4.327772,-11.102128268914969,0.3611322930009919,195,2.09371692899731,0.0030147589932312258,-0.98435247,2.6302027189958608,0.9408025593676973,0.21773611,1.0987449912506246,100.0,-25.366388,-80.73459539214785,6700,-21.404043,-66.0195729033936
-29.98887574742174,-0.99862784,0.28421003,14.584370246100283,0.16974325478076935,-11.41762950117613,-21.486769,1.4001347,100,100,-2.910693883895874,-0.3332292,8.076775,15,-0.035816908,100.0,39.17046265395038,-76.77941591728136,0.0,0.0060814259995822795,-2.6036878,-66.08347,1.7951535,-0.49946046,13,-67.07073,-0.06238828,-25.059698,8.195878,-66.07758,0.85214263,-46.32049701545534,100,-0.0139655955900426,0.0019691179986693896,21000,0.92607284,8.083915,-1.2162198,-0.98486406,-25.06338,5.3379428333449,-46.32049701545534,0.15901169,0.26510143,5.6021023,72,-82.32166445174818,5,-0.823216644517482,0.1663073749950854,100,-76.54941375661323,0.1912732,-21.448902,-0.04154980066168438,0.0,7200,24.455194,-0.4632049701545535,0.42549545,0.935051,-3.162189,-10.374844420236847,0.35840729999472387,210,2.138566148998507,0.0030486949981423095,-0.98968107,2.67438006298471,0.9306668936447843,0.3585249,1.4777494282749593,100.0,-25.190123,-92.39560290924332,7200,-21.508549,-82.32166445174818
-4.757012999767825,-0.9969901,5.079116,19.972443241146337,0.15130378305912018,-9.388636117641655,-21.224186,1.4733465,100,100,-2.3478500843048096,-0.14682624,9.073385,15,-0.036525127,100.0,41.84830280893948,-67.4384191496346,0.0,0.0051822519963025115,-2.3629837,-65.178055,1.8912565,-0.55797577,14,-66.47847,-0.03962362,-25.106445,9.348558,-64.93037,0.8448619,-26.561050016329965,100,-0.021974963771908804,0.0019969999993918464,22500,0.94859964,9.052885,-1.3347708,-1.0907444,-25.117605,12.483366110878897,-26.561050016329965,0.19682385,5.1411386,5.083371,77,-54.43476829854542,5,-0.5443476829854542,0.16150691999791889,100,-40.13090652394574,0.19827993,-0.8002305,-0.021608851172733826,0.0,7700,24.652672,-0.2656105001632996,0.39858317,0.89872974,-4.7822175,-12.419014413273194,0.3573170770032448,225,2.1439343959937105,0.003551311994669959,-0.9878792,2.6734889569852385,1.1538479029536783,0.75659007,0.9650860757259634,100.0,-25.202469,-72.07732967085875,7700,-21.158192,-54.43476829854542
-10.512623144970732,-0.9969587,0.33951652,12.194118025560648,0.13527221977710724,-9.573583935585663,-20.911303,1.3116279,100,100,-2.0202207565307617,-0.2058072,9.035213,15,-0.044824224,100.0,44.5087857429462,-58.13184121795463,0.0,0.0047573319970979355,-2.6425834,-78.74671,1.9407263,-0.45650607,15,-76.92508,-0.03247119,-24.990198,8.910826,-78.68548,0.9277169,-29.475874909768024,100,-0.0010277080411148112,0.001998678002564702,24000,0.9446764,9.062948,-1.4818776,-1.1861743,-24.994667,13.364730920786329,-29.475874909768024,0.24271156,0.349327,5.342182,82,-49.16533486007167,5,-0.4916533486007166,0.16106757799570914,100,-32.82424457353442,0.20464012,-21.109028,-0.05589166176116598,0.0,8200,24.960371,-0.2947587490976802,0.38359427,0.93283564,-2.4089634,-11.09062978007759,0.3428097170035471,240,2.1425028270023176,0.0030047740001464263,-0.9918661,2.656140906001383,1.0894284213405758,0.9900185,0.9737338090640337,100.0,-25.19241,-67.50093511301175,8200,-20.859056,-49.16533486007167
-6.338079199964652,-0.99755144,8.593637,14.930192786055299,0.12098763138055801,-8.275092469210998,-20.509932,1.3081511,100,100,-2.7949414253234863,-0.22016723,4.824473,15,-0.041584667,100.0,47.19072334095836,-54.18043916202752,0.0,0.004789209000591654,-2.6030147,-58.57045,1.9829403,-0.46868035,16,-60.138874,-0.0439963,-22.406715,5.85826,-58.619026,0.7489406,-26.753433183792488,100,-0.013784785980038398,0.0017264140042243525,25500,0.94775254,4.835773,-1.536086,-1.2894592,-22.397167,8.80000856810472,-26.753433183792488,0.2278815,8.614495,5.2134585,87,-52.84585071350493,5,-0.5284585071350494,0.16721435899671633,100,-43.31432468380366,0.19642106,-0.25201863,-0.016272548419554413,0.0,8700,22.560606,-0.2675343318379248,0.35742086,0.77630746,-3.754956,-10.564142883040537,0.35358224200172117,255,2.146845983006642,0.0030113589964457788,-0.99148494,2.6771695660063415,1.0479509990118496,0.67652774,1.066707718310168,100.0,-22.181923,-63.607962533350644,8700,-20.52367,-52.84585071350493
-6.701408796209618,-0.9976218,4.846192,12.378433628752376,0.10821418464183807,-8.858477665483012,-19.8996,1.5225132,100,100,-1.98006272315979,-0.2333205,9.323936,15,-0.033740997,100.0,49.882883971964475,-50.745791795081225,0.0,0.0053557049977825955,-2.7338781,-82.78904,2.0537584,-0.536673,17,-76.674904,-0.031191483,-23.553635,9.22579,-82.14169,0.90275526,-24.093437579074465,100,-0.011654037862934008,0.0023587570030940697,27000,0.9209448,9.247868,-1.6710972,-1.3450013,-23.564499,13.373800449862348,-24.093437579074465,0.27831876,4.806336,6.1310196,92,-41.60629163308705,5,-0.4160629163308704,0.16061506899859523,100,-24.271880418984342,0.18119346,-0.9404737,-0.05064921432000632,0.0,9200,23.64467,-0.24093437579074473,0.33164793,0.842749,-3.2075853,-10.208637973376671,0.35191809800016927,270,2.164586673003214,0.0032055000046966597,-0.99266577,2.6880398020075518,0.91292421157248,1.1094548,0.8775267589408766,100.0,-23.550962,-60.76051860236649,9200,-19.942852,-41.60629163308705
-11.56234207617676,-0.9991297,4.9450912,17.717713943947988,0.09691689908504486,-8.184218443830522,-19.73241,1.5888633,100,100,-1.5810346603393555,-0.26798484,11.613727,15,-0.033253387,100.0,52.58086576896312,-58.73149085054346,0.0,0.005610448002698831,-2.8958979,-81.34941,2.1157122,-0.51146203,18,-75.843666,-0.025998756,-25.234722,11.543298,-80.62433,1.0280958,-31.40872367070836,100,-0.019319872091914422,0.001950489000591915,28500,0.9384965,11.574801,-1.6922338,-1.2776496,-25.251379,11.43104984754411,-31.40872367070836,0.33522928,4.931494,6.775355,97,-43.87666207416731,5,-0.43876662074167305,0.17529762900085188,100,-30.023021386597744,0.18988268,-2.1088412,-0.06992632987450353,0.0,9700,25.331375,-0.31408723670708355,0.32712075,0.99685043,-2.578984,-10.799593284410784,0.3551892780014896,285,2.152544491000299,0.002981607998663094,-0.99423283,2.693573943004594,1.058020956061699,1.3225157,0.859992019136853,100.0,-25.131607,-62.81112566352232,9700,-19.706978,-43.87666207416731
-9.783452210771713,-0.996764,7.451813,14.395634027186055,0.08624958992004395,-6.751514466360422,-19.279013,1.4451278,100,100,-2.049851417541504,-0.21003097,7.290968,15,-0.038199108,100.0,55.235461478972866,-52.44810005396938,0.0,0.004935855002258904,-2.8059623,-57.81136,2.1527317,-0.5061416,19,-57.490044,-0.029463971,-22.165894,7.684142,-57.67336,0.81570286,-28.410475758663214,100,-0.01336312056449055,0.0020968979952158406,30000,0.9513101,7.269016,-1.8114698,-1.4815799,-22.172634,10.311787670160728,-28.410475758663214,0.2996012,7.4286838,7.1588006,102,-39.03900288848581,5,-0.39039002888485813,0.1684396260025096,100,-23.698695171508813,0.19365305,-0.34198612,-0.030867458058213885,0.0,10200,22.634415,-0.28410475758663206,0.30886978,0.8934137,-3.260891,-10.393956187416196,0.3603393329976825,300,2.1112802760035265,0.003104836003331002,-0.9946389,2.6501968240045244,1.0114389317471848,1.1634201,0.7939117199993667,100.0,-21.940079,-51.005949611222846,10200,-19.315527,-39.03900288848581
-16.286252484972824,-0.9978432,10.816428,13.652390191139375,0.07742621004581451,-11.382766392925205,-19.008825,1.6733474,100,100,-1.4414154291152954,-0.266108,7.1610284,15,-0.042068385,100.0,57.93021958598547,-60.748666836425635,0.0,0.005415542000264395,-2.9685726,-66.39829,2.2446074,-0.56305325,20,-66.88855,-0.050517224,-21.784626,7.9649034,-66.500404,0.8896588,-35.43698902290976,100,-0.009541757961041626,0.002055535005638376,31500,0.940682,7.1655383,-1.9183536,-1.4964256,-21.78443,19.01404954881846,-35.43698902290976,0.34744003,10.847288,6.7368784,107,-54.02353023920698,5,-0.5402353023920698,0.16947602000436746,100,-26.2006734473007,0.19688928,-0.10474077,-0.1370045271423651,0.0,10700,22.645979,-0.35436989022909765,0.31640944,0.87699085,-3.6226869,-9.754114491263799,0.37015470000187634,315,2.1392397550007445,0.0034509160032030195,-0.995031,2.689792468016094,1.0410359233944952,1.4365555,1.3374104691427067,100.0,-21.273384,-80.47260882174403,10700,-19.044844,-54.02353023920698
-4.868975985860646,-0.9991883,9.111134,15.347406615572355,0.06965760886669159,-8.080389864296746,-18.771973,1.4663537,100,100,-1.418094277381897,-0.23024547,7.2887344,15,-0.04882651,100.0,60.57396776000678,-53.363061607030545,0.0,0.0047200140033965,-2.9256742,-59.568768,2.244376,-0.51421887,21,-61.028885,-0.030799098,-21.810179,7.8291965,-59.44036,0.930747,-30.49457285975467,100,-0.004310439787744465,0.0020039540031575598,33000,0.9740508,7.302754,-1.9001948,-1.4838507,-21.812368,12.534947558318992,-30.49457285975467,0.37291828,9.123821,7.6126475,112,-40.36692092467352,5,-0.40366920924673516,0.16723667200130876,100,-25.593435097673733,0.21232599,-0.32031545,-0.02347633828431287,0.0,11200,22.434797,-0.3049457285975467,0.30517396,0.96595967,-1.7326225,-10.899935985056363,0.3579235750003136,330,2.104545923000842,0.0031973490040400065,-0.99696916,2.6396274870130583,1.1992476819992584,1.4676692,0.9541363919327271,100.0,-21.459576,-56.01776569311396,11200,-18.775326,-40.36692092467352
-9.107569732767871,-0.99958414,6.6684318,14.04587810315711,0.06299226731061935,-8.245411289585645,-18.057835,1.6124444,100,100,-1.6996890306472778,-0.09514651,4.0231676,15,-0.03048261,100.0,63.21197050300543,-55.97976081039472,0.0,0.004839886998524889,-2.8068762,-49.6738,2.3059645,-0.59419215,22,-52.001156,-0.026907751,-19.934141,5.0440483,-49.92732,0.8894704,-25.26960575818355,100,-0.008173130001152844,0.0022347640042426065,34500,0.95341337,4.056148,-2.0,-1.590899,-19.923326,10.211575041713527,-25.26960575818355,0.37047657,6.7360115,5.600413,117,-37.66087513217849,5,-0.3766087513217849,0.1628605099976994,100,-28.18178006525975,0.18569513,-0.6305994,-0.08545975333326233,0.0,11700,20.688005,-0.25269605758183555,0.2772797,0.89781237,-3.5433826,-9.330703045195152,0.3541230139962863,345,2.106472863997624,0.003050952000194229,-0.9972283,2.6335819909945712,0.8883506713746082,1.3851748,0.8525032805410111,100.0,-19.840416,-55.13455365034782,11700,-18.046654,-37.66087513217849
